Adjustment,Date,Company,ISIN
-,2024-12-16,Asymchem,CNE100002BZ6
+,2024-12-16,Biokin Pharm,CNE100006FN4
-,2024-12-16,Bloomage Biotech,CNE100003NL9
-,2024-12-16,BTN,CNE100004G74
+,2024-12-16,Capital Ses,CNE100005VG7
-,2024-12-16,ChongqingBrewery,CNE000000TL3
-,2024-12-16,CNGR,CNE1000049X9
+,2024-12-16,CSI Solar,CNE100006KH6
+,2024-12-16,CSICPCL,CNE000001KB1
-,2024-12-16,CVTE,CNE100002K47
+,2024-12-16,Eoptolink,CNE100002615
-,2024-12-16,Glodon,CNE100000PH8
-,2024-12-16,Ingenic,CNE100001377
+,2024-12-16,Jiangsu Exwy,CNE0000016S0
+,2024-12-16,Kelun Pharm,CNE100000PW7
-,2024-12-16,M&G,CNE100001V60
-,2024-12-16,Maxwell,CNE100003FS0
+,2024-12-16,Roborock,CNE100003R80
-,2024-12-16,Sangfor,CNE1000033T1
+,2024-12-16,Seres Grp,CNE1000028B9
+,2024-12-16,Sieyuan,CNE000001KM8
+,2024-12-16,SJI,CNE0000012L4
-,2024-12-16,ST Aiko,CNE000000LN6
+,2024-12-16,TFC,CNE100001XQ1
-,2024-12-16,ThunderSoft,CNE1000021D0
+,2024-12-16,TNMG,CNE000000529
-,2024-12-16,Walvax,CNE100000WN2
+,2024-12-16,WUS,CNE100000SP5
-,2024-12-16,YILING PHARMA,CNE1000015S0
+,2024-12-16,YTCO,CNE000000PY4
-,2024-12-16,Zhenhua Tech,CNE000000RY0
+,2024-12-16,ZJJH,CNE000000WQ6
+,2024-06-17,ACM Research SH,CNE100004ZD8
-,2024-06-17,Cathay Biotech,CNE100004447
+,2024-06-17,CMET,CNE1000032B1
+,2024-06-17,Commodities City,CNE000001BC8
+,2024-06-17,COSCO Energy,CNE000001BD6
+,2024-06-17,CRSC,CNE100003MP2
-,2024-06-17,Ecovacs,CNE1000031N8
-,2024-06-17,Ginlong Tech,CNE100003JZ7
-,2024-06-17,Goldwind Science,CNE1000008S5
-,2024-06-17,Greenland Hldng,CNE000000388
+,2024-06-17,HDPI,CNE000001LJ2
+,2024-06-17,HuaqinTechnology,CNE100006M82
-,2024-06-17,Jin Jiang Hotels,CNE000000MK0
+,2024-06-17,Kunlun,CNE100001YF2
-,2024-06-17,MYSE,CNE100003HQ0
-,2024-06-17,OCT,CNE000000SS0
-,2024-06-17,Qi An Xin,CNE1000041K3
+,2024-06-17,Range Tech,CNE100001Z58
-,2024-06-17,Seazen Holdg,CNE100002BF8
+,2024-06-17,Snibe,CNE100003T39
-,2024-06-17,StarPower,CNE100003RN6
+,2024-06-17,Tiantan Bio,CNE000000WF9
-,2024-06-17,TSM,CNE000000XV4
+,2024-06-17,Yunnan Alumin,CNE000000VG9
+,2023-12-11,AVIC AVIONICS,CNE0000018C0
+,2023-12-11,Cambricon,CNE1000041R8
+,2023-12-11,CINDA SECURITIES,CNE100005VS2
+,2023-12-11,CNOOC,CNE100005980
+,2023-12-11,CNResourceSanjiu,CNE0000011K8
+,2023-12-11,CZBank,CNE100003PS9
-,2023-12-11,Dynanonic,CNE100003K95
+,2023-12-11,Empyrean,CNE100005GY1
-,2023-12-11,Gemdale,CNE000001790
-,2023-12-11,Guide Infrared,CNE100000RK8
+,2023-12-11,HN Airport Infra,CNE000001C32
-,2023-12-11,Hoyuan Energy,CNE100003JF9
-,2023-12-11,Huafon Chemical,CNE000001NK6
+,2023-12-11,Hygon Info,CNE100005PT2
-,2023-12-11,Junzheng,CNE1000010F8
-,2023-12-11,Kangtai Bio,CNE100002Q33
-,2023-12-11,MJNY,CNE0000005J2
-,2023-12-11,NBSS,CNE000000JJ8
-,2023-12-11,Ronbay Tech,CNE100003MS6
-,2023-12-11,SUNWODA,CNE100001260
-,2023-12-11,TC Medical,CNE000000MZ8
+,2023-12-11,United Imaging,CNE100005PN5
+,2023-12-11,YILING PHARMA,CNE1000015S0
-,2023-12-11,YUNDA Holding,CNE100000015
-,2023-12-11,YXSpecial Matrls,CNE100001XB3
+,2023-12-11,ZHONGJIINNOLIGHT,CNE100001CY9
+,2023-12-11,ZHONGJIN GOLD,CNE000001FM8
+,2023-12-11,ZZEPC,CNE100001SP3
-,2023-06-12,AUTEK,CNE100002MR0
-,2023-06-12,Century Huatong,CNE1000015R2
+,2023-06-12,CMES,CNE000001PQ8
+,2023-06-12,CNPCCCL,CNE000000MS3
+,2023-06-12,Coking Coal Enr,CNE0000013Y5
+,2023-06-12,Dongfang Elec,CNE000000J28
-,2023-06-12,Han's Laser Tech,CNE000001JQ1
-,2023-06-12,Jafron,CNE100002995
+,2023-06-12,Jin Jiang Hotels,CNE000000MK0
+,2023-06-12,Jinko,CNE100005R96
-,2023-06-12,Kingmed Dgnstcs,CNE100002VW1
-,2023-06-12,Linglong Tyre,CNE100002GM3
+,2023-06-12,Lu an EED,CNE000001NT7
-,2023-06-12,LY iTECH,CNE1000015L5
-,2023-06-12,Roborock,CNE100003R80
+,2023-06-12,Shanghai Pharma,CNE000000C82
+,2023-06-12,ST Aiko,CNE000000LN6
-,2023-06-12,Supor,CNE000001KS5
-,2022-12-12,Anker Innovation,CNE1000047B9
-,2022-12-12,Bairun Invstmnt,CNE1000011K6
-,2022-12-12,CGT Group,CNE000000RL7
+,2022-12-12,CRRC Times Elec,CNE100004QK2
-,2022-12-12,CZBank,CNE100003PS9
+,2022-12-12,Dynanonic,CNE100003K95
+,2022-12-12,ENN-NG,CNE000000DG7
-,2022-12-12,Gan & Lee,CNE100003ZH1
-,2022-12-12,HYPC,CNE0000001J1
-,2022-12-12,Kinlong,CNE100002649
-,2022-12-12,Lepu Medical BJ,CNE100000H44
+,2022-12-12,MJNY,CNE0000005J2
+,2022-12-12,MYSE,CNE100003HQ0
+,2022-12-12,NB Deye Tech,CNE1000052S3
+,2022-12-12,NBSS,CNE000000JJ8
+,2022-12-12,Ninestar,CNE1000007W9
-,2022-12-12,Offcn Edu,CNE100001641
+,2022-12-12,SCTE,CNE000000BQ0
-,2022-12-12,Shenzhen Goodix,CNE100002G84
-,2022-12-12,SHRCB,CNE100004QD7
+,2022-12-12,SRBG,CNE000001DQ4
-,2022-12-12,Tiantan Bio,CNE000000WF9
+,2022-12-12,Tuopu,CNE1000023J3
+,2022-12-12,Xinjiang Daqo,CNE100004P24
+,2022-12-12,YTO Express,CNE0000012J8
+,2022-12-12,YXSpecial Matrls,CNE100001XB3
-,2022-12-12,YYTM,CNE000000594
+,2022-12-12,Zhenhua Tech,CNE000000RY0
-,2022-12-12,ZHONGJIN GOLD,CNE000001FM8
-,2022-12-12,ZJ Longsheng,CNE000001FJ4
-,2022-06-13,Autobio,CNE100002GC4
-,2022-06-13,Betta Pharms,CNE100002DD9
-,2022-06-13,BGI Genomics,CNE100003449
-,2022-06-13,BOC China,CNE100003R64
+,2022-06-13,BTN,CNE100004G74
-,2022-06-13,Caitong Secs,CNE100002V44
+,2022-06-13,Cathay Biotech,CNE100004447
-,2022-06-13,Changjiang Secs,CNE000000SH3
+,2022-06-13,CHINA LONGYUAN,CNE1000057F9
+,2022-06-13,China Mobile,CNE1000055G1
+,2022-06-13,CNCEC,CNE100000KC0
+,2022-06-13,CNGR,CNE1000049X9
-,2022-06-13,CRSC,CNE100003MP2
+,2022-06-13,Desay SV,CNE1000033C7
-,2022-06-13,DSL Pharm,CNE100002RG2
+,2022-06-13,Ginlong Tech,CNE100003JZ7
+,2022-06-13,GOTION,CNE000001NY7
+,2022-06-13,HLIG,CNE100004KP4
+,2022-06-13,Hoyuan Energy,CNE100003JF9
-,2022-06-13,HWHG,CNE000000QW6
+,2022-06-13,Ingenic,CNE100001377
-,2022-06-13,IntroMedTech,CNE100003456
-,2022-06-13,JONJEE,CNE000000HK0
-,2022-06-13,Juewei Food,CNE100002RT5
-,2022-06-13,Kingfa,CNE000001JP3
+,2022-06-13,Maxwell,CNE100003FS0
-,2022-06-13,MeinianOnehealth,CNE000001LV7
-,2022-06-13,NJ Securities,CNE1000031R9
+,2022-06-13,NS Aluminium,CNE000001139
-,2022-06-13,PWRD,CNE1000018W6
+,2022-06-13,Qinghai SaltLake,CNE000000SW2
+,2022-06-13,Ronbay Tech,CNE100003MS6
+,2022-06-13,Sangfor,CNE1000033T1
+,2022-06-13,SATELLITE CHEM,CNE100001B07
+,2022-06-13,SG Micro,CNE100002NT4
-,2022-06-13,Shanghai Pharma,CNE000000C82
-,2022-06-13,SHLG,CNE000000C74
+,2022-06-13,SHRCB,CNE100004QD7
+,2022-06-13,Silan,CNE000001DN1
-,2022-06-13,Sinolink Secs,CNE000000SV4
-,2022-06-13,Songcheng Prfrmn,CNE100000XG4
+,2022-06-13,StarPower,CNE100003RN6
-,2022-06-13,Suning.Com,CNE000001KF2
+,2022-06-13,SUNWODA,CNE100001260
+,2022-06-13,TBEA,CNE000000RB8
-,2022-06-13,TF Securities,CNE100003F43
+,2022-06-13,ThunderSoft,CNE1000021D0
+,2022-06-13,TSM,CNE000000XV4
-,2022-06-13,USISH,CNE100001BZ8
-,2022-06-13,Winner Medical,CNE1000047Z8
+,2022-06-13,Yankuang Energy,CNE000000WV6
-,2022-06-13,YH Superstores,CNE100000XX9
-,2022-06-13,Yifeng Pharmacy,CNE100001TS5
+,2022-06-13,Zangge Mining,CNE000000L08
-,2022-06-13,ZHEJIANG DINGLI,CNE1000023M7
-,2022-06-13,Zhengbang Tech,CNE1000006H2
+,2021-12-13,Anker Innovation,CNE1000047B9
-,2021-12-13,AVIC IF,CNE000000KC1
+,2021-12-13,Bairun Invstmnt,CNE1000011K6
-,2021-12-13,Bluestar Adisseo,CNE000001253
+,2021-12-13,CATL,CNE100003662
+,2021-12-13,CEEC,CNE100004QL0
-,2021-12-13,CFLD,CNE000001GG8
-,2021-12-13,China Spacesat,CNE000000SM3
+,2021-12-13,China Telecom,CNE100004QG0
-,2021-12-13,CHINALIN SECS,CNE100003JH5
-,2021-12-13,CMES,CNE000001PQ8
+,2021-12-13,CN Coal Energy,CNE100000957
-,2021-12-13,CQ RCB,CNE100003NZ9
-,2021-12-13,CSICPCL,CNE000001KB1
+,2021-12-13,CTGR,CNE1000051F2
-,2021-12-13,DSBJ,CNE100000N79
+,2021-12-13,EasternShenghong,CNE0000012K6
+,2021-12-13,Eastroc Beverage,CNE100005576
+,2021-12-13,Ecovacs,CNE1000031N8
+,2021-12-13,Flat,CNE100003HV0
-,2021-12-13,Giant Network,CNE1000010R3
-,2021-12-13,Great Wall Secs,CNE100003GD0
-,2021-12-13,Guoyuan Secs,CNE000000QZ9
+,2021-12-13,Hoshine Silicon,CNE100002V10
+,2021-12-13,Huafon Chemical,CNE000001NK6
-,2021-12-13,Huahai Pharm,CNE000001DL5
+,2021-12-13,Imeik Technology,CNE100004868
+,2021-12-13,JA Solar Techno,CNE100000SD1
-,2021-12-13,Jinke Property,CNE000000073
+,2021-12-13,JSG,CNE100001DJ8
-,2021-12-13,KHPG,CNE1000020C4
+,2021-12-13,Kinlong,CNE100002649
+,2021-12-13,Linglong Tyre,CNE100002GM3
+,2021-12-13,Maxscend Micro,CNE100003QK4
-,2021-12-13,OFILM,CNE100000S33
+,2021-12-13,Pharmaron,CNE100003JW4
+,2021-12-13,Qi An Xin,CNE1000041K3
-,2021-12-13,Robam,CNE100000WY9
-,2021-12-13,Sanan Optoelec,CNE000000KB3
-,2021-12-13,SCS,CNE1000019P8
-,2021-12-13,ShanghaiElectric,CNE100000D55
+,2021-12-13,Shenzhen Mindray,CNE100003G67
-,2021-12-13,Shiji Info,CNE100000668
-,2021-12-13,Shunxin Agr,CNE000000XH3
+,2021-12-13,SMIC,CNE1000041W8
-,2021-12-13,SUNWAY COMM,CNE100000W94
+,2021-12-13,Tianqi Lithium,CNE100000T32
+,2021-12-13,TINCI,CNE100001RG4
+,2021-12-13,TrinaSolar,CNE100003ZR0
-,2021-12-13,Wanda Film,CNE100001WW1
-,2021-12-13,Western Sec,CNE100001D96
+,2021-12-13,Winner Medical,CNE1000047Z8
-,2021-12-13,WUS,CNE100000SP5
+,2021-12-13,YKA,CNE1000048D3
-,2021-12-13,YTO Express,CNE0000012J8
-,2021-12-13,ZTT,CNE000001CW4
-,2021-06-15,Aisino,CNE000001FB1
+,2021-06-15,AUTEK,CNE100002MR0
-,2021-06-15,Bank of Changsha,CNE100003F50
+,2021-06-15,Betta Pharms,CNE100002DD9
-,2021-06-15,Biocause Pharma,CNE000000F48
+,2021-06-15,Bloomage Biotech,CNE100003NL9
-,2021-06-15,C.G.G.C,CNE000000QF1
+,2021-06-15,ChongqingBrewery,CNE000000TL3
+,2021-06-15,CIC Corp,CNE1000048J0
-,2021-06-15,CNCEC,CNE100000KC0
+,2021-06-15,CR Microelec,CNE100003S06
-,2021-06-15,Dongxing Secs,CNE100002177
+,2021-06-15,DSL Pharm,CNE100002RG2
+,2021-06-15,FAW Jiefang,CNE000000R85
-,2021-06-15,FiberHome,CNE0000018P2
+,2021-06-15,First,CNE100001VX1
-,2021-06-15,GBIAC,CNE000001DX0
-,2021-06-15,Grand Automotive,CNE000001576
-,2021-06-15,HDPI,CNE000001LJ2
-,2021-06-15,HTGD,CNE000001FQ9
+,2021-06-15,Huahai Pharm,CNE000001DL5
+,2021-06-15,HUALU-HENGSHENG,CNE000001BM7
+,2021-06-15,HWHG,CNE000000QW6
+,2021-06-15,IntroMedTech,CNE100003456
-,2021-06-15,Jointown,CNE100000W45
+,2021-06-15,Juewei Food,CNE100002RT5
-,2021-06-15,Kelun Pharm,CNE100000PW7
+,2021-06-15,Kingfa,CNE000001JP3
+,2021-06-15,Kingmed Dgnstcs,CNE100002VW1
+,2021-06-15,Kingsoft Office,CNE100003PM2
+,2021-06-15,Lead Intelligent,CNE100001ZF9
-,2021-06-15,MinmetalsCapital,CNE0000016N1
-,2021-06-15,MJNY,CNE0000005J2
+,2021-06-15,NSIG,CNE1000040F5
-,2021-06-15,OPG,CNE0000004Z1
+,2021-06-15,Putailai,CNE100002TX3
-,2021-06-15,QRCB,CNE100003JQ6
-,2021-06-15,QZXA Develop,CNE000000ZH8
-,2021-06-15,RiseSun,CNE1000005Y9
+,2021-06-15,Roborock,CNE100003R80
+,2021-06-15,Sungrow,CNE1000018M7
-,2021-06-15,SWSC,CNE0000016P6
+,2021-06-15,Xingyu Co Ltd,CNE1000011H2
-,2021-06-15,Yango,CNE000000206
-,2021-06-15,Yangyuan,CNE100002ST3
+,2021-06-15,Yifeng Pharmacy,CNE100001TS5
-,2021-06-15,Youngor Fashion,CNE000000XR2
-,2021-06-15,YTCO,CNE000000PY4
+,2021-06-15,ZHEJIANG DINGLI,CNE1000023M7
-,2021-06-15,Zhongnan Cons,CNE0000011P7
-,2020-12-21,ANSTEEL,CNE000000SQ4
+,2020-12-21,Autobio,CNE100002GC4
-,2020-12-21,BAIC BluePark,CNE000000LP1
+,2020-12-21,BJ-SH Hgh Spd,CNE100003RV9
-,2020-12-21,Bohai Leasing,CNE0000009B1
-,2020-12-21,BOW,CNE100000N95
+,2020-12-21,CGNPwr,CNE100003N43
+,2020-12-21,CGT Group,CNE000000RL7
+,2020-12-21,CITIC Steel,CNE0000008J6
+,2020-12-21,CQ RCB,CNE100003NZ9
+,2020-12-21,CZBank,CNE100003PS9
-,2020-12-21,DEEJ,CNE0000006Y9
+,2020-12-21,EVE,CNE100000GS4
-,2020-12-21,Gold Mantis,CNE000001P86
+,2020-12-21,IEIT SYSTEMS,CNE0000012M2
-,2020-12-21,J-Yuan Trust,CNE0000003P4
+,2020-12-21,Jiangsu Hengli,CNE1000019R4
-,2020-12-21,Jumpcan Pharm,CNE0000018X6
+,2020-12-21,Kangtai Bio,CNE100002Q33
+,2020-12-21,King's Luck,CNE100001TH8
-,2020-12-21,LJZ,CNE0000009S5
+,2020-12-21,NAURA,CNE100000ML7
-,2020-12-21,PGVT,CNE0000007H2
+,2020-12-21,PSBC,CNE100003PZ4
-,2020-12-21,Salubris,CNE100000FW8
+,2020-12-21,Shunxin Agr,CNE000000XH3
-,2020-12-21,SIASUN,CNE100000GH7
-,2020-12-21,Tasly,CNE000001C81
-,2020-12-21,THTF,CNE000000RK9
-,2020-12-21,TNMG,CNE000000529
-,2020-12-21,Transfar Zhilian,CNE000001JS7
-,2020-12-21,Tunghsu Optoelec,CNE000000578
+,2020-12-21,TZE,CNE1000000B8
+,2020-12-21,USISH,CNE100001BZ8
-,2020-12-21,Wangsu,CNE100000GQ8
+,2020-12-21,WINGTECH,CNE000000M72
+,2020-12-21,WUS,CNE100000SP5
-,2020-12-21,XM C&D,CNE000000WL7
-,2020-12-21,YanAn Bicon,CNE100000PJ4
+,2020-12-21,YEALINK,CNE100002PC5
+,2020-12-21,Zhengbang Tech,CNE1000006H2
-,2020-12-21,ZZEPC,CNE100001SP3
+,2020-12-14,AMEC,CNE100003MM9
+,2020-12-14,Asymchem,CNE100002BZ6
-,2020-12-14,AVIC AVIONICS,CNE0000018C0
-,2020-12-14,Avicopter,CNE0000015V6
-,2020-12-14,BaiyinNonferrous,CNE100002RP3
-,2020-12-14,Bank of Xi'an,CNE100003JB8
+,2020-12-14,Baosight,CNE000000C66
-,2020-12-14,BBMG Corp,CNE1000010M4
+,2020-12-14,BGI Genomics,CNE100003449
+,2020-12-14,BOC China,CNE100003R64
-,2020-12-14,China Film,CNE100002GX0
+,2020-12-14,CMES,CNE000001PQ8
-,2020-12-14,CN Coal Energy,CNE100000957
-,2020-12-14,CNOOC Energy Tec,CNE100003L78
-,2020-12-14,COOEC,CNE0000019T2
+,2020-12-14,CRSC,CNE100003MP2
+,2020-12-14,CSSC Holdings,CNE000000W05
+,2020-12-14,DSBJ,CNE100000N79
+,2020-12-14,ENERGY TECH,CNE100002BR3
-,2020-12-14,FangDa Carbon,CNE000001CC6
+,2020-12-14,Gan & Lee,CNE100003ZH1
+,2020-12-14,Goneo Group,CNE100003RL0
+,2020-12-14,Guide Infrared,CNE100000RK8
+,2020-12-14,GUOXIN MICRO,CNE000001M14
-,2020-12-14,GYB,CNE100002FX2
-,2020-12-14,Hainan Airlines,CNE0000011C5
-,2020-12-14,HBIS,CNE000000H20
-,2020-12-14,HLA GROUP,CNE0000016H3
-,2020-12-14,Hoshine Silicon,CNE100002V10
+,2020-12-14,Jafron,CNE100002995
+,2020-12-14,JCET,CNE000001F05
+,2020-12-14,JONJEE,CNE000000HK0
+,2020-12-14,LY iTECH,CNE1000015L5
-,2020-12-14,Macalline,CNE100002RX7
+,2020-12-14,Montage Tech,CNE100003MN7
+,2020-12-14,NJ Securities,CNE1000031R9
-,2020-12-14,NS Aluminium,CNE000001139
-,2020-12-14,NZP,CNE100000V12
-,2020-12-14,QD Port Intl,CNE100003GT6
-,2020-12-14,SCTE,CNE000000BQ0
-,2020-12-14,Shanghai Const,CNE000000WR4
-,2020-12-14,STO Express,CNE100000T99
-,2020-12-14,TBEA,CNE000000RB8
+,2020-12-14,TC Medical,CNE000000MZ8
-,2020-12-14,THDB,CNE000000H87
-,2020-12-14,Tianqi Lithium,CNE100000T32
+,2020-12-14,Tiantan Bio,CNE000000WF9
+,2020-12-14,Transsion,CNE100003P74
+,2020-12-14,Tsingtao Brewery,CNE0000009Y3
+,2020-12-14,Wantai,CNE100004090
-,2020-12-14,Yankuang Energy,CNE000000WV6
+,2020-12-14,Zhongtai Secs,CNE100004900
-,2019-12-16,ADAMA Ltd,CNE0000004V0
+,2019-12-16,Bank of Xi'an,CNE100003JB8
+,2019-12-16,Baofeng Energy,CNE100003LF5
-,2019-12-16,BUCHANG PHARMA,CNE100002FV6
+,2019-12-16,China Satcom,CNE100003PX9
-,2019-12-16,CN Ptrlum Eng,CNE000001642
+,2019-12-16,CNOOC Energy Tec,CNE100003L78
-,2019-12-16,Commodities City,CNE000001BC8
+,2019-12-16,CVTE,CNE100002K47
-,2019-12-16,DHCC,CNE000001NL4
-,2019-12-16,Enlight Media,CNE100001617
-,2019-12-16,Financial St,CNE000000KT5
-,2019-12-16,GZ Port,CNE100002RF4
-,2019-12-16,Haixin Energy-Te,CNE100000NP6
+,2019-12-16,Hongta Sec,CNE100003PY7
-,2019-12-16,Intretech,CNE1000033H6
-,2019-12-16,KCT,CNE1000018P0
-,2019-12-16,Leyard,CNE100001CB7
+,2019-12-16,M&G,CNE100001V60
+,2019-12-16,MJNY,CNE0000005J2
+,2019-12-16,Offcn Edu,CNE100001641
-,2019-12-16,Orient Landscape,CNE100000HN3
+,2019-12-16,QRCB,CNE100003JQ6
+,2019-12-16,Shennan Circuits,CNE100003373
+,2019-12-16,SHLG,CNE000000C74
-,2019-12-16,SPC,CNE000000BB2
+,2019-12-16,Sytech,CNE000000XL5
+,2019-12-16,Tigermed,CNE100001KV8
+,2019-12-16,WillSemi,CNE100002XM8
-,2019-12-16,Wuchan Zhongda,CNE000000KF4
+,2019-12-16,YYTM,CNE000000594
-,2019-12-16,Zangge Mining,CNE000000L08
+,2019-06-17,Avary Holding,CNE100003GF5
+,2019-06-17,BAIC BluePark,CNE000000LP1
+,2019-06-17,Bank of Changsha,CNE100003F50
+,2019-06-17,Bluestar Adisseo,CNE000001253
+,2019-06-17,CHINALIN SECS,CNE100003JH5
-,2019-06-17,CITIC Guoan,CNE000000TD0
-,2019-06-17,CMET,CNE1000032B1
-,2019-06-17,CN Rfrm Hlth,CNE000000255
-,2019-06-17,CNECC,CNE100002896
-,2019-06-17,Coking Coal Enr,CNE0000013Y5
-,2019-06-17,Datang Power,CNE000001Q02
-,2019-06-17,FCSC,CNE1000027G0
+,2019-06-17,Glodon,CNE100000PH8
+,2019-06-17,Great Wall Secs,CNE100003GD0
-,2019-06-17,GSRC,CNE000001Q44
+,2019-06-17,GU JING,CNE000000MD5
-,2019-06-17,HUAAN SECURITIES,CNE100002GR2
+,2019-06-17,Jinke Property,CNE000000073
-,2019-06-17,KDX,CNE100000RN2
-,2019-06-17,KMYY,CNE0000017M1
+,2019-06-17,LJZ,CNE0000009S5
-,2019-06-17,LNCD,CNE000000LY3
+,2019-06-17,MANGO,CNE100001Y83
+,2019-06-17,PGVT,CNE0000007H2
+,2019-06-17,PICC Group,CNE100003F27
+,2019-06-17,QD Port Intl,CNE100003GT6
-,2019-06-17,Qinghai SaltLake,CNE000000SW2
-,2019-06-17,SFY,CNE100001203
-,2019-06-17,Shougang,CNE000001196
+,2019-06-17,Sugon,CNE100001TW7
+,2019-06-17,TF Securities,CNE100003F43
+,2019-06-17,Transfar Zhilian,CNE000001JS7
-,2019-06-17,TUS-EST,CNE000000BX6
+,2019-06-17,Wanda Film,CNE100001WW1
-,2019-06-17,Wanfeng Auto,CNE000001PF1
+,2019-06-17,WENS FOODSTUFF,CNE100002508
-,2019-06-17,WTECL,CNE000000WD4
-,2019-06-17,XTC,CNE000001D15
+,2018-12-17,ADAMA Ltd,CNE0000004V0
-,2018-12-17,BJ Cap Deve,CNE000001782
-,2018-12-17,CapitalECO-ProGr,CNE000001295
+,2018-12-17,CCHT,CNE0000007J8
+,2018-12-17,China Securities,CNE1000031T5
-,2018-12-17,Chinese Media,CNE0000019X4
-,2018-12-17,COSCO Dev,CNE1000008F2
-,2018-12-17,DBN Group,CNE100000N61
-,2018-12-17,DR.PENG,CNE000000FW9
+,2018-12-17,FII,CNE1000031P3
+,2018-12-17,GBIAC,CNE000001DX0
+,2018-12-17,Gigadevice,CNE1000030S9
-,2018-12-17,GOTION,CNE000001NY7
+,2018-12-17,Haid Group,CNE100000HP8
-,2018-12-17,HBMC,CNE100000GD6
+,2018-12-17,HDPI,CNE000001LJ2
+,2018-12-17,HYPC,CNE0000001J1
-,2018-12-17,JDC,CNE1000009Y1
-,2018-12-17,Jiangsu Guoxin,CNE100001658
-,2018-12-17,Jihua Group,CNE100000SK6
-,2018-12-17,Jilin Aodong,CNE000000719
+,2018-12-17,Jointown,CNE100000W45
+,2018-12-17,Jonhon,CNE1000007T5
-,2018-12-17,JSCN,CNE1000022G1
+,2018-12-17,Jumpcan Pharm,CNE0000018X6
+,2018-12-17,Kelun Pharm,CNE100000PW7
+,2018-12-17,KHPG,CNE1000020C4
-,2018-12-17,KINGENTA,CNE100000TC1
+,2018-12-17,Leyard,CNE100001CB7
-,2018-12-17,LJZ,CNE0000009S5
-,2018-12-17,MJNY,CNE0000005J2
+,2018-12-17,NHU,CNE000001J84
-,2018-12-17,NJXB,CNE000000CX4
-,2018-12-17,Nonfemet,CNE000000FS7
+,2018-12-17,Oriental Yuhong,CNE100000CS3
-,2018-12-17,PacificSecs,CNE1000008V9
-,2018-12-17,Shanxi Securitie,CNE100000WJ0
-,2018-12-17,STEC,CNE000000B83
+,2018-12-17,Supor,CNE000001KS5
+,2018-12-17,Walvax,CNE100000WN2
-,2018-12-17,Wanda Film,CNE100001WW1
+,2018-12-17,Wuxi AppTec,CNE1000031K4
-,2018-12-17,WXQC,CNE000000FB3
+,2018-12-17,Yangyuan,CNE100002ST3
